GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Not difficult at all,League of Legends,10,1,2,Male,22,Student at college / university,Bachelor (or equivalent),USA,26,27,4
Not difficult at all,League of Legends,20,1,3,Male,21,Employed,Bachelor (or equivalent),CAN,29,4,2
Not difficult at all,League of Legends,10,0,3,Male,18,Student at college / university,High school diploma (or equivalent),BRA,22,2,0
Extremely difficult,League of Legends,50,1,4,Male,20,Student at college / university,High school diploma (or equivalent),BEL,8,34,18
Very difficult,League of Legends,14,1,2,Male,18,Student at school,High school diploma (or equivalent),NLD,14,11,5
Not difficult at all,League of Legends,35,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),DEU,11,22,2
Not difficult at all,League of Legends,10,1,2,Male,26,Employed,Bachelor (or equivalent),CAN,25,7,2
Not difficult at all,League of Legends,10,1,1,Male,18,Student at college / university,High school diploma (or equivalent),CAN,20,37,11
Somewhat difficult,League of Legends,15,1,2,Male,22,Unemployed / between jobs,High school diploma (or equivalent),DEU,17,55,7
Somewhat difficult,League of Legends,10,1,4,Male,18,Student at school,High school diploma (or equivalent),USA,25,NA,13
Somewhat difficult,League of Legends,10,1,1,Male,18,Student at school,None,DEU,10,41,15
Somewhat difficult,League of Legends,10,1,2,Male,22,Student at college / university,Bachelor (or equivalent),USA,31,23,2
Not difficult at all,League of Legends,20,1,2,Male,25,Employed,Bachelor (or equivalent),USA,30,4,2
Not difficult at all,League of Legends,5,1,1,Female,20,Student at college / university,Bachelor (or equivalent),USA,25,50,13
Not difficult at all,League of Legends,25,1,1,Male,26,Employed,Bachelor (or equivalent),USA,25,39,1
NA,League of Legends,30,1,3,Male,23,Student at college / university,Bachelor (or equivalent),GRC,20,14,0
Somewhat difficult,League of Legends,14,0,2,Male,21,Student at college / university,High school diploma (or equivalent),BGR,19,5,5
Not difficult at all,League of Legends,14,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,16,28,3
Somewhat difficult,League of Legends,24,1,2,Female,31,Employed,Bachelor (or equivalent),USA,34,18,1
NA,League of Legends,20,1,1,Male,20,Student at college / university,Bachelor (or equivalent),USA,30,7,0
Not difficult at all,League of Legends,30,1,2,Male,19,Student at college / university,Master (or equivalent),USA,28,17,0
Somewhat difficult,League of Legends,14,1,2,Male,19,Student at college / university,High school diploma (or equivalent),CAN,25,13,4
Somewhat difficult,League of Legends,14,1,2,Male,26,Employed,Bachelor (or equivalent),USA,11,41,5
Not difficult at all,League of Legends,14,1,4,Male,18,Student at school,None,POL,21,36,5
Not difficult at all,League of Legends,25,1,5,Male,18,Student at college / university,High school diploma (or equivalent),DEU,16,14,8
Not difficult at all,League of Legends,15,1,3,Male,25,Employed,Bachelor (or equivalent),CAN,28,10,1
Somewhat difficult,League of Legends,15,1,2,Female,23,Student at college / university,High school diploma (or equivalent),DEU,16,37,6
Not difficult at all,League of Legends,7,1,1,Male,18,Student at school,None,LTU,32,25,3
NA,League of Legends,10,1,1,Male,26,Employed,Bachelor (or equivalent),USA,13,16,0
Somewhat difficult,League of Legends,10,0,3,Male,19,Student at college / university,High school diploma (or equivalent),CAN,18,19,4
Somewhat difficult,League of Legends,24,1,1,Male,22,Employed,Bachelor (or equivalent),USA,22,20,1
Not difficult at all,League of Legends,8,1,3,Male,22,Student at college / university,Bachelor (or equivalent),USA,26,20,3
Very difficult,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,20,19,4
Somewhat difficult,League of Legends,15,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,16,37,6
NA,League of Legends,15,1,1,Male,18,Student at college / university,High school diploma (or equivalent),AUS,18,6,0
Not difficult at all,League of Legends,14,0,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,29,13,11
Not difficult at all,League of Legends,27,0,1,Male,22,Unemployed / between jobs,High school diploma (or equivalent),ISR,5,30,2
Not difficult at all,League of Legends,35,1,1,Male,18,Student at school,High school diploma (or equivalent),USA,20,31,4
Not difficult at all,League of Legends,12,1,2,Male,25,Student at college / university,Bachelor (or equivalent),USA,30,6,3
Not difficult at all,League of Legends,16,1,3,Female,24,Student at college / university,Bachelor (or equivalent),DEU,20,21,2
Not difficult at all,League of Legends,20,1,4,Male,30,Employed,Bachelor (or equivalent),USA,25,3,4
Very difficult,League of Legends,14,1,2,Female,18,Student at school,High school diploma (or equivalent),HRV,15,22,9
Somewhat difficult,League of Legends,6,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,21,14,9
Somewhat difficult,League of Legends,25,1,2,Male,18,Student at college / university,High school diploma (or equivalent),BRA,13,27,6
Somewhat difficult,League of Legends,23,1,2,Female,20,Student at college / university,High school diploma (or equivalent),USA,15,55,19
Not difficult at all,League of Legends,10,0,1,Male,27,Unemployed / between jobs,Bachelor (or equivalent),LTU,12,NA,2
Somewhat difficult,League of Legends,30,1,1,Male,22,Student at college / university,High school diploma (or equivalent),ISR,14,44,4
Not difficult at all,League of Legends,8,1,5,Male,26,Student at college / university,Master (or equivalent),USA,20,26,4
Somewhat difficult,League of Legends,40,1,2,Male,21,Student at college / university,High school diploma (or equivalent),ITA,20,6,3
Somewhat difficult,League of Legends,20,1,2,Male,27,Employed,"Ph.D., Psy. D., MD (or equivalent)",USA,17,7,4
Somewhat difficult,League of Legends,15,1,3,Male,18,Student at college / university,Bachelor (or equivalent),FRA,26,NA,5
Extremely difficult,League of Legends,20,1,2,Male,21,Employed,Bachelor (or equivalent),USA,6,NA,17
Very difficult,League of Legends,40,1,3,Male,22,Unemployed / between jobs,High school diploma (or equivalent),USA,10,14,17
Not difficult at all,League of Legends,10,1,1,Male,20,Student at college / university,High school diploma (or equivalent),GBR,28,NA,0
Somewhat difficult,League of Legends,35,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,5,31,6
Somewhat difficult,League of Legends,21,0,2,Female,20,Student at college / university,High school diploma (or equivalent),NLD,24,45,9
Not difficult at all,League of Legends,7,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,20,18,7
Not difficult at all,League of Legends,6,1,2,Male,18,Student at college / university,High school diploma (or equivalent),GBR,23,22,1
Not difficult at all,League of Legends,16,1,1,Male,21,Student at college / university,Master (or equivalent),USA,28,30,3
Somewhat difficult,League of Legends,24,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,22,22,4
Somewhat difficult,League of Legends,35,1,2,Male,20,Student at college / university,High school diploma (or equivalent),HRV,28,19,9
Somewhat difficult,League of Legends,12,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,8,NA,9
Not difficult at all,League of Legends,30,1,4,Male,21,Employed,High school diploma (or equivalent),USA,15,26,0
NA,League of Legends,10,0,1,Male,23,Employed,Bachelor (or equivalent),USA,19,0,0
Not difficult at all,League of Legends,15,0,2,Male,18,Student at school,High school diploma (or equivalent),CAN,25,16,4
Somewhat difficult,League of Legends,12,1,1,Male,23,Student at college / university,High school diploma (or equivalent),PRT,22,5,3
Very difficult,League of Legends,35,1,3,Male,18,Employed,High school diploma (or equivalent),DEU,12,29,5
Somewhat difficult,League of Legends,16,1,1,Male,30,Employed,Master (or equivalent),HUN,8,38,10
Not difficult at all,League of Legends,35,1,1,Male,23,Employed,Bachelor (or equivalent),CAN,13,9,0
Not difficult at all,League of Legends,2,0,2,Male,18,Student at school,High school diploma (or equivalent),CAN,29,9,2
Very difficult,League of Legends,30,1,4,Male,22,Employed,Bachelor (or equivalent),GBR,7,25,14
Somewhat difficult,League of Legends,7,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,8,1,3
Somewhat difficult,League of Legends,20,1,3,Male,22,Student at college / university,High school diploma (or equivalent),DEU,22,6,2
Not difficult at all,League of Legends,21,0,3,Male,18,Student at college / university,High school diploma (or equivalent),USA,10,22,1
Very difficult,League of Legends,40,1,2,Male,19,Student at college / university,High school diploma (or equivalent),PRT,13,20,7
Not difficult at all,League of Legends,30,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,18,10,1
Somewhat difficult,League of Legends,6,1,4,Male,20,Student at school,None,PRT,5,21,11
Not difficult at all,League of Legends,20,1,1,Male,19,Employed,High school diploma (or equivalent),NLD,19,27,10
Somewhat difficult,League of Legends,37,1,4,Male,19,Student at college / university,High school diploma (or equivalent),DEU,24,16,5
Not difficult at all,League of Legends,15,1,1,Male,20,Student at college / university,High school diploma (or equivalent),AUS,32,12,2
Very difficult,League of Legends,20,1,2,Female,20,Student at college / university,High school diploma (or equivalent),HRV,16,39,17
Not difficult at all,League of Legends,20,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,15,18,1
Somewhat difficult,League of Legends,3,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,23,32,4
Somewhat difficult,League of Legends,40,1,2,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,13,3,7
Not difficult at all,League of Legends,14,1,1,Male,18,Student at school,High school diploma (or equivalent),USA,28,9,4
Very difficult,League of Legends,13,1,1,Female,18,Student at school,None,USA,22,25,6
Not difficult at all,League of Legends,21,1,1,Male,18,Student at college / university,None,DNK,16,NA,3
Very difficult,League of Legends,20,1,2,Male,22,Student at college / university,Bachelor (or equivalent),USA,5,16,6
Not difficult at all,League of Legends,20,0,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,23,15,1
NA,League of Legends,10,1,1,Male,19,Student at college / university,High school diploma (or equivalent),ROU,26,5,0
Not difficult at all,League of Legends,26,0,4,Male,18,Student at college / university,None,CHL,17,NA,12
Not difficult at all,League of Legends,3,1,0,Male,18,Student at college / university,High school diploma (or equivalent),FRA,19,2,0
Not difficult at all,League of Legends,5,1,1,Female,23,Student at college / university,High school diploma (or equivalent),GRC,13,19,17
Somewhat difficult,League of Legends,40,1,1,Male,23,Unemployed / between jobs,High school diploma (or equivalent),PRT,17,36,6
Somewhat difficult,League of Legends,14,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,32,7,3
Somewhat difficult,League of Legends,12,1,2,Male,22,Student at college / university,High school diploma (or equivalent),BRA,10,40,7
Somewhat difficult,League of Legends,15,0,1,Male,19,Student at college / university,High school diploma (or equivalent),CAN,8,35,10
Not difficult at all,League of Legends,20,1,2,Male,18,Employed,High school diploma (or equivalent),USA,18,15,3
Somewhat difficult,League of Legends,30,1,2,Male,18,Student at school,None,BGR,14,20,9
Not difficult at all,League of Legends,20,1,2,Male,21,Student at college / university,High school diploma (or equivalent),PAN,16,20,4
Not difficult at all,League of Legends,7,1,2,Male,25,Student at college / university,Master (or equivalent),DNK,29,8,0
Somewhat difficult,League of Legends,25,1,1,Male,18,Student at school,None,USA,26,NA,6
Not difficult at all,League of Legends,5,1,1,Male,19,Student at college / university,Bachelor (or equivalent),DEU,19,18,2
Very difficult,League of Legends,35,1,4,Female,21,Student at college / university,High school diploma (or equivalent),DEU,13,24,6
Somewhat difficult,League of Legends,8,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,16,13,8
NA,League of Legends,40,1,4,Male,19,Employed,High school diploma (or equivalent),SWE,23,12,0
Not difficult at all,League of Legends,25,1,2,Male,21,Employed,Master (or equivalent),FRA,25,19,5
Somewhat difficult,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),ITA,32,34,3
Not difficult at all,League of Legends,25,1,1,Male,19,Employed,High school diploma (or equivalent),PRT,13,48,2
Not difficult at all,League of Legends,35,1,1,Male,18,Student at college / university,High school diploma (or equivalent),BRA,21,60,7
Not difficult at all,League of Legends,20,1,2,Male,22,Student at college / university,High school diploma (or equivalent),USA,17,3,1
Not difficult at all,League of Legends,30,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,23,5,0
Extremely difficult,League of Legends,20,0,2,Female,36,Employed,Master (or equivalent),USA,17,22,15
Somewhat difficult,League of Legends,20,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,27,31,8
Extremely difficult,League of Legends,50,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,28,28,14
